section,exercise_number,mode,exercise_text,graphic,a-C++,b-C++,c-C++,d-C++,e-C++,f-C++,a-C,b-C,c-C,d-C,e-C,f-C,a-Pascal,b-Pascal,c-Pascal,d-Pascal,e-Pascal,f-Pascal,answer,solution
Varianta 8,8.12.,Single,"Precizați care este numărul minim de muchii ale unui graf neorientat cu 16 noduri care are exact două componente conexe, fiecare dintre aceste două componente fiind graf complet.",N/A,15,14,105,55,28,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,"Răspuns corect: f) 56\\
Indicații: Numărul minim de muchii se obține pentru două componente conexe, fiecare graf complet cu 8 vârfuri; $m=8 * 7 / 2=28$ reprezintă numărul de muchii pentru fiecare dintre aceste componente.\\"
Varianta 8,8.13.,Single,Se cunosc următoarele informaţii despre matricea de adiacență a unui graf neorientat conex: are 10 linii şi 24 de valori nenule. Precizaţi care este valoarea maximă pe care o poate avea gradul unui nod într-un astfel de graf.,N/A,nu există astfel de graf,12,1,10,9,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,e,"Răspuns corect: e) 9\\
Indicații: Graful, având 10 vârfuri, poate avea gradul maxim al unui vârf $n-1=9$.\\"
Varianta 8,8.14.,Single,"Fie graful orientat $G$, definit prin perechea ordonată de mulţimi $X={1,2,3,4,5}$ şi $\mathrm{U}={(1,2),(2,1),(2,3),(3,4),(4,3),(4,1),(4,5),(5,1),(1,5)}$.
Precizați care dintre afirmaţiile următoare nu este adevărată pentru acest graf.",N/A,Graful este conex,Graful este tare conex,Graful are două componente conexe,Graful conţine cel puţin un drum elementar de lungime 4.,Graful nu conţine vârfuri izolate (vârf izolat = vârf care nu este adiacent cu alt vârf),Graful conţine cel puţin un circuit elementar.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,c,Răspuns corect: c) Graful este (slab) conex\\
Varianta 8,8.15.,Single,Precizați care este numărul maxim de frunze ale unui arbore binar (arbore în care fiecare nod are cel mult doi fii) cu 66 de noduri.,N/A,65,35,1,33,32,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,Răspuns corect: d) 33\\
Varianta 9,9.1.,Single,"Fie $\mathbf{n}$ un număr natural cu cel puţin 4 cifre. Precizați care dintre următoarele instrucțiuni determină interschimbarea cifrei sutelor cu cifra zecilor.
Limbajul C++/ Limbajul C
\begin{verbatim}
Limbajul C++/ Limbajul C 
1.  n=n%10+n/1000*1000+n%1000/100*10+n%100/10*100; 
2.  n=n/1000*1000+n%1000/100*100+n%100/10*10+n%10; 
3.  n=n%1000/100*10+n%100/10*100+n%10+n/1000*1000; 
4.  n=n%1000/100*10+n%100/10*100+n/10; 
Limbajul Pascal 
1.  n:=n mod 10+n div 1000*1000+n mod 1000 div 100*10+n mod 100 div 10*100; 
2.  n:=n div 1000*1000+n mod 1000 div 100*100+n mod 100 div 10*10+n mod 10; 
3.  n:=n mod 1000 div 100*10+n mod 100 div 10*100+n mod 10+n div 1000*1000; 
4.  n:=n mod 1000 div 100*10+n mod 100 div 10*100+n div 10;
\end{verbatim}",N/A,1 și 2,1 și 3,"1, 3 și 4",1 și 4,2 și 3,2 și 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b,"Răspuns corect: b) \\
Indicații: Verificare directă a fiecărei variante folosind pentru $n$ o valoare cu cel puțin 4 cifre.\\"
Varianta 9,9.2.,Single,"Dacă expresia:
\begin{verbatim}
Limbajul C++/ Limbajul C
!(x>2)||(x<=5)&&(x>-5)
Limbajul Pascal
not(x>2)or(x<=5)and(x>-5)
\end{verbatim}
este adevărată, atunci:",N/A,"$\mathbf{x} \in(-5,2) \cup[5, \infty)$","$x \in(-\infty, 2] \cap[5, \infty)$","$\mathbf{x} \in(-\infty, 2] \cup[5, \infty)$","$x \in(-\infty, 5)$","$x \in(-5,2) \cap[5, \infty)$","$x \in(-\infty, 5]$",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,"Răspuns corect: f) \\
Indicații: Se ține cont de precedența operatorilor și de regulile de negare a unei expresii logice.\\"
Varianta 9,9.3.,Single,"În urma executării secvenţei de program de mai jos, în care variabila s memorează un şir cu cel mult 100 caractere, iar i este de tip întreg, se afișează șirul acbb. Precizați care este conținutul șirului s înainte de această secvență.
\begin{verbatim}
Limbajul C++/C
for(i=0;i<strlen(s);i++)
    {
            strcpy(s+i,s+i+1);
            if(!strchr(""aeiou"",s[i]))
                s[i]--;
            else s[i]++;
    }
    cout<<s; |
        printf(""%s"",s);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
for i:=1 to length(s) do begin
    delete(s,i,1);
    if pos(s[i],'aeiou')=0 then
            s[i]:=chr(ord(s[i])-1)
        else s[i]:=chr(ord(s[i])+1);
    end;
    write(s);
\end{verbatim}",N/A,abaa,abcbdcba,abcd,abcddcba,acbb,bdcc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) \\
Indicații: Șirul inițial are 8 caractere, pentru că la fiecare iterație se elimină un caracter. Mai departe, se analizează caracterele afișate: primul caracter este 'a', prin urmare al doilea caracter din șirul inițial trebuie să fie 'b' ș.a.m.d.\\"
Varianta 9,9.4.,Single,"Precizați care dintre următoarele matrice, este matricea de adiacenţă a unui arbore cu 4 noduri.",N/A,"\begin{verbatim}
0 1 0 1 
0 0 1 0 
\end{verbatim}","\begin{verbatim}
0 0 1 0 
0 0 0 1
\end{verbatim}","\begin{verbatim}
0 1 1 1 
1 0 1 0
\end{verbatim}","\begin{verbatim}
1 0 0 0 
1 0 1 0
0 0 1 0 
0 0 0 1 
1 0 0 1 
0 1 1 0
\end{verbatim}","\begin{verbatim}
1 0 0 0 
0 1 0 0
0 0 1 0 
0 1 0 1 
1 0 0 1 
0 1 1 0
\end{verbatim}","\begin{verbatim}
1 1 0 0 
1 0 0 0
0 0 1 0 
0 0 0 1 
1 0 0 1 
0 1 1 1 
\end{verbatim}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) \\
Indicații: Un arbore cu 4 noduri are 3 muchii, este conex și fără cicluri.\\"
Varianta 9,9.5.,Single,"În secvenţa de mai jos, variabilele $\mathbf{i}$ şi $\mathbf{j}$ sunt de tip întreg, iar variabila a memorează un tablou bidimensional în care prima linie şi prima coloană sunt numerotate începând cu 1 . Toate elementele tabloului primesc valori în urma executării secvenţei.
\begin{verbatim}
Limbajul C++/ Limbajul C
for(j=1;j<=4;j++)
    for(i=3;i>=1;i--)
        if(j==1||i==3)a[i][j]=i+j-1;
            else
            a[i][j]=a[i][j-1]+a[i+1][j];
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
for j:=1 to 4 do
    for i:=3 downto 1 do
        if (j=1)or(i=3) then
                a[i][j]:=i+j-1
        else
        a[i][j]:=a[i][j-1]+a[i+1][j];
\end{verbatim}
Precizați câte numere prime sunt memorate în tabloul a după executarea secvenței de program.",N/A,3,4,5,6,7,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) \\
Indicații: Calcul direct al valorilor din matrice, apoi se numără câte dintre elemente sunt valori prime.\\"
Varianta 9,9.6.,Single,"Se generează prin metoda backtracking mulţimi distincte cu elemente numere naturale nenule şi cu proprietatea că suma elementelor fiecărei mulţimi este egală cu 6 astfel: ${1,2,3}$, ${1,5},{2,4},{6}$. Folosind aceeaşi metodă pentru a genera mulţimi distincte cu elemente numere naturale nenule şi cu proprietatea că suma elementelor fiecărei mulţimi este egală cu 10 , stabiliți în ce ordine sunt generate următoarele mulțimi:
\begin{enumerate}
  \item ${2,3,5}$;
  \item ${3,7}$;
  \item ${2,8}$;
  \item ${1,9}$.
\end{enumerate}",N/A,4 1 2 3,4 1 3 2,4 2 1 3,4 2 3 1,4 3 1 2,4 3 2 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b,"Răspuns corect: b) \\
Indicații: Se analizează soluțiile din enunț: soluția care are pe prima poziție valoarea 1 va fi prima generată, apoi urmează soluțiile care au pe prima poziție valoarea 2; soluția care conține valoarea 3 pe poziția a doua va fi generată înaintea celei care conține pe poziția a doua valoarea 8; soluția care are pe prima poziție valoarea 3 va fi generată ultima.\\"
Varianta 9,9.7.,Single,"Se consideră graful neorientat $\mathrm{G}=(\mathrm{X}, \mathrm{U})$ unde $\mathrm{X}={1,2,3,4,5,6}$ şi $\mathrm{U}={[1,2]$, $[1,3]$, $[5,1],[3,4],[4,5],[3,2],[3,5]}$. Precizați câte cicluri elementare distincte există în graful G. (Două cicluri elementare sunt distincte dacă diferă prin cel puţin o muchie).",N/A,2,3,4,5,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,e,"Răspuns corect: e) \\
Indicații: (1,2,3,1), (1,3,5,1), (3,4,5,3), (1,2,3,5,1), (1,3,4,5,1), (1,2,3,4,5,1)\\"
Varianta 9,9.8.,Single,"Se consideră graful orientat $G=(v, E)$ unde $v={1,2,3,4,5,6,7}$ şi $E={(1,2),(6,1)$, $(2,5),(2,3),(4,5),(3,4),(3,6)}$. Precizați câte componente tare conexe are graful dat.",N/A,1,2,3,4,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) \\
Indicații: Componentele tare conexe sunt alcătuite din următoarele mulțimi de noduri: $\{1,2,3,6\}$, $\{4\}$, $\{5\}$, $\{7\}$.\\"
Varianta 9,9.9.,Single,"Un arbore cu nodurile numerotate de la 1 la 12, este memorat cu ajutorul vectorului de taţi tata $=(2,5,5,3,0,2,3,7,6,6,7,4)$. Numărul de lanțuri elementare de lungime maximă care leagă două noduri ale arborelui este:",N/A,2,3,4,5,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,e,"Răspuns corect: e) \\
Indicații: Lanțurile de lungime maximă se află între nodurile 9 și 12, 9 și 8, 9 și 11, 10 și 12, 10 și 8, 10 și 11.\\"
Varianta 9,9.10.,Single,"Se consideră declarările următoare, în care variabila $\mathbf{x}$ memorează coordonatele, în planul $\mathbf{x O y}$, ale centrului unui cerc, precum şi lungimea razei acestuia.
\begin{verbatim}
Limbajul C++/ Limbajul C
typedef struct {
        float x, y;
    } punct;
typedef struct {
        punct c;
        float r;
    } cerc;
cerc x;
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
type punct=record
        x,y:real;
        end;
    cerc=record
        c:punct;
        r:real;
        end;
var x:cerc;
\end{verbatim}
Expresia care verifică dacă originea sistemului de coordonate, este în interiorul cercului, este:",N/A,c.x*c.x+c.y*c.y<c.r*c.r;,x.c.x+x.c.y<x.r,c.x*c.x+c.y*c.y<x.r*x.r,x.x*x.x+x.y*x.y<x.r*x.r,x.c.x*x.c.x+x.c.y*x.c.y<x.r*x.r,x.r*x.r< x.c.x*x.c.x+x.c.y*x.c.y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,e,"Răspuns corect: e) \\
Indicații: Se verifică dacă distanța de la centrul cercului la originea sistemului de coordonate este mai mică decât raza cercului.\\"
Varianta 9,9.11.,Single,"Se consideră tabloul unidimensional $\mathbf{x}=(1,2,4,3)$. Precizați care dintre următoarele variante reprezintă tabloul unidimensional $y$, știind că pentru orice $0 \leq i<4$, există relaţia $\mathbf{x}[y[i]]=y[x[i]]$.",N/A,"$y=(1,2,3,4)$","$y=(1,3,4,2)$","$y=(2,3,1,4)$","$y=(3,2,1,4)$","$y=(3,4,1,2)$","$y=(4,2,1,3)$",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a,Răspuns corect: a) \\
Varianta 9,9.12.,Single,"Subprogramul $\pounds$ este definit mai jos. Precizați ce valori se vor afişa în urma apelului f('m', 0).
\begin{verbatim}
Limbajul C++/ Limbajul C
void f(char c, int x)
{
    if(!strchr(""aeiou"",c)){
        f(c-1,x+1)
        cout<<c;|printf(""%c"",c);
    }else
        cout<<x;|printf(""%d"",x);
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
procedure f (c:char; x : word) ;
begin
if (pos(c,'aeiou')=0) then
    begin
        f(pred (c), x+1);
        write(c); end
    else write(x);
end;
\end{verbatim}",N/A,4jklm,4jmkl,4mlkj,jklm4,jmkl4,mlkj4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a,Răspuns corect: a) \\
Varianta 9,9.13.,Single,"Se consideră subprogramele de mai jos. Dacă înaintea apelului $g(x)$, variabilele globale de tip întreg $\mathbf{x}$ și $\mathbf{y}$ aveau valorile 1 , respectiv -3 , precizați care vor fi valorile memorate în variabilele globale $\mathbf{x}$ și $\mathbf{y}$ după executarea apelului $\mathrm{g}(\mathbf{x})$.


\begin{verbatim}
Limbajul C++/ Limbajul C
    void f(int x)
{ x=x+1;
    y=2*x+3; }
void g(int x)
{
        int a,b;
        a=x+y; b=x-y;
        f(a); f(b);
        y=y+b;
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
procedure f(x: longint);
begin
x:=x+1;
y:=2*x+3;end;
procedure g(x: longint);
var a,b:longint;
begin
    a:=x+y; b:=x-y;
    f(a); f(b);
    y:=y+b;end;
\end{verbatim}",N/A,1 și 13,1 și 17,1 și 18,2 și 13,2 și 17,2 și 18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b,"Răspuns corect: b) \\
Indicații: Variabila globală $y$ este vizibilă în toate funcțiile și va fi modificată de fiecare apel al acestora. Variabila globală $x$ nu va fi modificată, deoarece în fiecare dintre funcț̦ii există un parametru cu același nume, iar apelul $g(x)$ va prelua pe segmentul de stivă doar valoarea lui $x$.\\"
Varianta 9,9.14.,Single,"În secvenţa de program de mai jos, toate variabilele sunt de tip întreg. Precizați care este valoarea afișată la finalul executării secvenţei următoare.
\begin{verbatim}
Limbajul C++/ Limbajul C
  k=0; 
        for(     i=1;i<=9999;i++) 
        { 
            d=2;p=1;n=i; 
            while(d*d<=n) 
            { 
                e=0; 
                while(n%d==0) 
                { 
                    e++; 
                    n=n/d; 
                } 
            p=p*(e+1); 
            d++; 
            } 
        if(n>1)p=p*2; 
        if(p%2==0) k++; 
        } 
        cout<<k; | printf(""%d"",k);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
k:=0;
for i:=1 to 9999 do
    begin
    d:=2;p:=1;n:=i;
    while d*d<=n do
        begin
        e:=0;
        while n mod d=0 do
            begin
            inc(e);
            n:=n div d;
            end;
        p:=p* (e+1);
        inc(d);
        end;
    if n>1 then p:=p*2;
    if p mod 2=0 then inc(k);
    end;
write(k);
\end{verbatim}",N/A,99,8901,8990,9900,9901,9990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) \\
Indicații: Secvența determină numărul de numere cu cel mult 4 cifre care au numărul divizorilor număr par; se știe că doar pătratele perfecte au număr impar de divizori.\\"
Varianta 9,9.15.,Single,"Funcția $\pounds$ este definită mai jos.
\begin{verbatim}
Limbajul C++/ Limbajul C
int a[100];
int f(int x[100], int st, int dr)
{
if(st==dr) return 1;
else
    if(f(x,st,(st+dr)/2)>0&&f(x,(st+dr)/2+1,dr)>0)
        if (x[(st+dr)/2+1]>x[(st+dr)/2]) return 1;
        else return 0;
    else return 0;
}
Limbajul Pascal
type vector=array[0..99] of integer;
    var a:vector;
function f(x:vector;st,dr:integer):byte;
begin
if st=dr then f:=1
else
        if (f(x,st,(st+dr) div 2)>0) and (f(x,(st+dr) div 2+1,dr)>0) then
            if x[(st+dr)div 2+1]>x[(st+dr)div 2] then f:=1
        else f:=0
    else f:=0;
end;
\end{verbatim}
Precizațic care dintre următoarele șiruri de valori pot fi memorate în tabloul unidimensional a (cu indicii începând de la 0 ), astfel încât apelul $f(a, 2,5)$ să returneze valoarea 1 .
\begin{verbatim}
1. a=(0,1,1,3,4,4,5)
2. a=(0,5,3,4,2,0)
3. a=(0,2,2,3,4,5,5)
4. a=(0,4,3,3,2,2,1)
\end{verbatim}",N/A,niciunul,șirurile 1 și 3,doar șirul 2,șirurile 2 și 4,doar șirul 3,toate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,e,"Răspuns corect: e) \\
Indicații: Funcția verifică (utilizând metoda Divide et Impera) dacă vectorul este sortat strict crescător între pozițiile 2 și 5.\\"
Varianta 10,10.1.,Single,"Precizați ce valoare va avea variabila reală $\mathbf{x}$, după executarea următoarei instrucțiuni.
\begin{verbatim}
Limbajul C++/ Limbajul C
x=7.51+35/4*67%8-2.83;
Limbajul Pascal
x:=7.51+35 div 4*67 mod 8-2.83
\end{verbatim}",N/A,instrucțiunea este incorectă,4,4.68,5,28,28.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,c,"Răspuns corect: c) \\
Indicații: Verificare directă, ținând cont de precedența operatorilor.\\"
Varianta 10,10.2.,Single,Precizați care dintre următoarele variante de instruncțiuni inserează cifra 2 în faţa ultimei cifre a unui număr natural n.,N/A,niciuna,1,1 și 2,2,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) \\
Indicații: Verificare directă a fiecărei variante de răspuns.\\"
Varianta 10,10.3.,Single,"În secvența de program de mai jos, variabilele $\mathbf{x}, \mathbf{y}$ și $\mathbf{z}$ sunt de tip întreg.
\begin{verbatim}
Limbajul C++/ Limbajul C
z=1;
while (y>0)
{
    if(y%2)
        z=x%10*z;
    x=x*x%10;
    y=y/2;
}
cout<<z; | printf(""%d"",z);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
z:=1;
    while y>0 do
    begin
        if y mod %2=1 then
            z:=x mod 10*z;
        x:=x*x mod 10;
        y:=y div 2;
    end;
    write(z);
\end{verbatim}
Dacă înaintea secvenței, $\mathbf{x}$ are valoarea 137 , precizați câte valori cu exact două cifre poate avea $\mathbf{y}$ astfel încât valoarea lui $\mathbf{z}$ (afișată la finalul secvenței) să fie 1 .",N/A,21,22,23,24,25,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b,"Răspuns corect: b) \\
Indicații: Algoritmul determină ultima cifră a numărului $x^{y}$. Cum ultima cifră a lui $x$ este 7, ultima cifră a puterilor lui $x$ va fi 7, 9, 3, 1, apoi se repetă. Pentru $y$ sunt posibile 90 de valori (de la 10 la 99 ), înseamnă că 22 dintre acestea vor determina pentru $z$ valoarea 1.\\"
Varianta 10,10.4.,Single,"Se consideră declarările:
\begin{verbatim}
Limbajul C++/ Limbajul C
typedef struct
    {
        float st,dr;
    } interval;
interval v[20], m;
int i,j;
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
type interval=record
        st,dr:real;
    end;
var v:array[0..19] of interval;
m:interval;
i,j:word;
\end{verbatim}
Precizați care dintre următoarele instrucțiuni sunt corecte din punct de vedere sintactic.
\begin{verbatim}
Limbajul C++/ Limbajul C
1.  v[i]=v[v[j]]; 
2.  m=(v[2]+v[3])/2; 
3.  v[10]=m; 
4.  m.st=v[5].st%2;
Limbajul Pascal
1.  v[i]:=v[v[j]]; 
2.  m:=(v[2]+v[3])/2; 
3.  v[10]:=m; 
4.  m.st:=v[5].st mod 2;
\end{verbatim}",N/A,niciuna,"1 , 2 și 3",1 și 4,3,3 și 4,toate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,Răspuns corect: d) \\
Varianta 10,10.5.,Single,"Subprogramul f cu antetul int f (int x ) (în limbajul C++ și limbajul C), respectiv function $f(x$ : integer) : integer; (în limbajul Pascal), returnează cea mai mică cifră a numărului $\mathbf{x}$, care apare de cel puţin două ori în scrierea lui $\mathbf{x}$, sau valoarea -1 , dacă numărul $\mathbf{x}$ este format din cifre distincte.
Stabiliţi valoarea expresiei $f(f(775125)+f(97917))$.",N/A,-1,0,1,12,14,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a,"Răspuns corect: a) \\
Indicații: $f(f(775125)+f(97917))=f(5+7)=f(12)=-1$\\"
Varianta 10,10.6.,Single,"Se generează prin metoda backtracking, submulţimile nevide ale mulţimii ${1,2,3}$ astfel: ${1},{1,2},{1,2,3},{1,3},{2},{2,3},{3}$. Folosind aceeaşi metodă pentru a genera submulţimile nevide ale mulţimii ${1,2,3,4,5,6,7}$, stabiliţi care este a $10-\mathrm{a}$, respectiv a 11-a soluție generată.",N/A,"${1,2,3,4,7}, {1,2,3,4,6,7}$","${1,2,3,4,7},{1,2,3,5}$","${1,2,3,4,6,7}$, ${1,2,3,6,7}$","${1,2,3,4,6}, {1,2,3,4,6,7}$","${1,2,3,4,6}$, ${1,2,3,5}$","${1,2,3,4,6,7},{1,2,3,4,7}$",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,"Răspuns corect: f) \\
Indicații: Primele 11 soluții sunt: $\{1\},\{1,2\},\{1,2,3\},\{1,2,3,4\},\{1,2,3,4,5\},\{1,2,3,4,5,6\},\{1,2,3,4,5,6,7\}$,\\ $\{1,2,3,4,5,7\},\{1,2,3,4,6\},\{1,2,3,4,6,7\},\{1,2,3,4,7\}$.\\"
Varianta 10,10.7.,Single,"Se consideră graful neorientat $G=(X, U)$ unde $X={1,2,3,4,5}$ şi $\mathrm{U}={[1,2],[1,3],[5,1],[3,4],[4,5],[3,2]}$. Precizați numărul minim de muchii care trebuie adăugate pentru ca graful să devină eulerian.",N/A,0,1,2,3,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,e,"Răspuns corect: e) \\
Indicații: Nodurile 1 și 3 au gradul 3 și sunt adiacente, prin urmare pentru a obține un graf eulerian este necesar ca acestea să ajungă să aibă gradul 4.\\"
Varianta 10,10.8.,Single,Un graf neorientat are 30 noduri şi 16 muchii. Precizați numărul componentelor conexe pe care le poate avea acest graf.,N/A,exact 14,cel puţin 14 şi cel mult 24,cel puţin 14 şi cel mult 26,cel puţin 16 şi cel mult 24,cel puţin 16 şi cel mult 26,exact 24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b,"Răspuns corect: b) \\
Indicații: Cele 16 muchii pot determina o componentă conexă cu 17 noduri (arbore), deci rămân 13 noduri izolate și prin urmare numărul minim de componente conexe este 14. Pentru a determina numărul maxim de componente conexe, se caută graful complet cel mai mare care are cel mult 16 muchii. $\mathrm{K}_{6}$ are 15 muchii, deci vom avea o componentă conexă cu 7 noduri, 23 de noduri izolate, adică 24 componente conexe.\\"
Varianta 10,10.9.,Single,"Fie $\mathrm{G}=(\mathrm{V}, \mathrm{E})$ un graf orientat în care mulţimea nodurilor este $\mathrm{V}={1,2, \ldots, 10}$, iar mulţimea arcelor este $\mathrm{E}={(\mathrm{i}, \mathrm{j}) \mathrm{VxV} \mid$ i este divizor propriu al lui j$}$. Stabiliţi care dintre următoarele afirmaţii este adevărată.
\begin{enumerate}
  \item Graful G are 3 componente tare conexe
  \item Graful G are 3 componente conexe
  \item G nu are vârfuri izolate
  \item Graful G conţine cel puțin un circuit
\end{enumerate}",N/A,1,1 și 2,2,3,4,toate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,c,"Răspuns corect: c) \\
Indicații: Graful conține arcele: $(2,4),(2,6),(2,8),(2,10),(3,6),(3,9),(4,8),(5,10)$.\\"
Varianta 10,10.10.,Single,"Prin înălţimea unui arbore cu rădăcină înţelegem numărul de muchii ale celui mai lung lanţ elementar care are una dintre extremităţi în rădăcina arborelui. Dacă arborele este reprezentat prin următorul vector de taţi: tata $=(4,5,1,0,4,5,6,1,4)$, atunci înălţimea sa este:",N/A,2,3,4,5,6,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b,Răspuns corect: b) \\
Varianta 10,10.11.,Single,"Subprogramul g este definit mai jos. Precizați ce valori se vor afișa în urma apelul g (4).
\begin{verbatim}
Limbajul C++/ Limbajul C
void g(int n)
{int i;
    if(n>0)
    for(i=n;i>1;i--)
        {
            cout<<i; | printf(""%d"",i);
            g(n-2);
        }
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
procedure g(n:word);
var i:word;
begin
if n>0 then
    for i:=n downto 2 do
    begin
        write(i);
        g(n-2);
    end;
end;
\end{verbatim}",N/A,42132,42322,423222,432322,432132121,4213212211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,c,"Răspuns corect: c) \\
Indicații: Fiecare apel recursiv va gestiona propria variabilă locală $i$.\\"
Varianta 10,10.12.,Single,"În secvența de program alăturată, variabilele i și $\mathbf{k}$ sunt de tip întreg, iar variabila $\mathbf{A}$ memorează o matrice cu 8 linii și 8 coloane (numerotate de la 1 la 8) cu elemente numere întregi. Înainte de executarea secvenței, toate elementele vectorului sunt nule. Precizați care este a 9-a valoare afișată și care este numărul de valori afișate pe parcursul executării secvenței date.
\begin{verbatim}
Limbajul C++/ Limbajul C
n=8;k=3;
for (i=n;i>=1;i--)
        for(j=n;j>=1;j--)
            A[i][j]=n*(j-1)+i;
for(i=k;i<=n-k+1;i++)
    cout<<A[i][k]<<' '; | printf(""%d "", A[i][k]);
for(i=k+1;i<=n-k+1;i++)
    cout<<A[n-k+1][i]<<' '; | printf(""%d "",A[n-k+1][i]);
for(i=n-k;i>=k;i--)
    cout<<A[i][n-k+1]<<' '; | printf(""%d "", A[i][n-k+1]);
for(i=n-k;i>k;i--)
    cout<<A[k][i]<<' '; | printf(""%d "", A[k][i]);

    Limbajul Pascal n:=8;k:=3; 
for i:=n downto 1 do 
    for j:=n downto 1 do
        A[i,j]:=n*(j-1)+i; 
for i:=k to n-k+1 do 
  write(A[i,k],' '); 
for i:=k+1 to n-k+1 do  
    write(A[n-k+1,i],' '); 
for i:=n-k downto k do  
    write(A[i,n-k+1],' '); 
for i:=n-k downto k+1 do  
 write(A[k,i],' ');
\end{verbatim}",N/A,43 și 10,43 și 12,44 și 10,44 și 12,45 și 10,45 și 12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d,"Răspuns corect: d) \\
Sunt 12 valori afișate: 19 20 21 22 30 38 46 45 44 43 35 27.\\"
