"section","exercise_number","mode","exercise_text","graphic","a-C++","b-C++","c-C++","d-C++","e-C++","f-C++","a-C","b-C","c-C","d-C","e-C","f-C","a-Pascal","b-Pascal","c-Pascal","d-Pascal","e-Pascal","f-Pascal"
"Varianta 9","9.15.","Single","Funcția $\pounds$ este definită mai jos.
\begin{verbatim}
Limbajul C++/ Limbajul C
int a[100];
int f(int x[100], int st, int dr)
{
if(st==dr) return 1;
else
    if(f(x,st,(st+dr)/2)>0&&f(x,(st+dr)/2+1,dr)>0)
        if (x[(st+dr)/2+1]>x[(st+dr)/2]) return 1;
        else return 0;
    else return 0;
}
Limbajul Pascal
type vector=array[0..99] of integer;
    var a:vector;
function f(x:vector;st,dr:integer):byte;
begin
if st=dr then f:=1
else
        if (f(x,st,(st+dr) div 2)>0) and (f(x,(st+dr) div 2+1,dr)>0) then
            if x[(st+dr)div 2+1]>x[(st+dr)div 2] then f:=1
        else f:=0
    else f:=0;
end;
\end{verbatim}
Precizațic care dintre următoarele șiruri de valori pot fi memorate în tabloul unidimensional a (cu indicii începând de la 0 ), astfel încât apelul $f(a, 2,5)$ să returneze valoarea 1 .
\begin{verbatim}
1. a=(0,1,1,3,4,4,5)
2. a=(0,5,3,4,2,0)
3. a=(0,2,2,3,4,5,5)
4. a=(0,4,3,3,2,2,1)
\end{verbatim}","N/A","niciunul","șirurile 1 și 3","doar șirul 2","șirurile 2 și 4","doar șirul 3","toate","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.1.","Single","Precizați ce valoare va avea variabila reală $\mathbf{x}$, după executarea următoarei instrucțiuni.
\begin{verbatim}
Limbajul C++/ Limbajul C
x=7.51+35/4*67%8-2.83;
Limbajul Pascal
x:=7.51+35 div 4*67 mod 8-2.83
\end{verbatim}","N/A","instrucțiunea este incorectă","4","4.68","5","28","28.68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.2.","Single","Precizați care dintre următoarele variante de instruncțiuni inserează cifra 2 în faţa ultimei cifre a unui număr natural n.","N/A","niciuna","1","1 și 2","2","3","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.3.","Single","În secvența de program de mai jos, variabilele $\mathbf{x}, \mathbf{y}$ și $\mathbf{z}$ sunt de tip întreg.
\begin{verbatim}
Limbajul C++/ Limbajul C
z=1;
while (y>0)
{
    if(y%2)
        z=x%10*z;
    x=x*x%10;
    y=y/2;
}
cout<<z; | printf(""%d"",z);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
z:=1;
    while y>0 do
    begin
        if y mod %2=1 then
            z:=x mod 10*z;
        x:=x*x mod 10;
        y:=y div 2;
    end;
    write(z);
\end{verbatim}
Dacă înaintea secvenței, $\mathbf{x}$ are valoarea 137 , precizați câte valori cu exact două cifre poate avea $\mathbf{y}$ astfel încât valoarea lui $\mathbf{z}$ (afișată la finalul secvenței) să fie 1 .","N/A","21","22","23","24","25","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.4.","Single","Se consideră declarările:
\begin{verbatim}
Limbajul C++/ Limbajul C
typedef struct
    {
        float st,dr;
    } interval;
interval v[20], m;
int i,j;
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
type interval=record
        st,dr:real;
    end;
var v:array[0..19] of interval;
m:interval;
i,j:word;
\end{verbatim}
Precizați care dintre următoarele instrucțiuni sunt corecte din punct de vedere sintactic.
\begin{verbatim}
Limbajul C++/ Limbajul C
1.  v[i]=v[v[j]]; 
2.  m=(v[2]+v[3])/2; 
3.  v[10]=m; 
4.  m.st=v[5].st%2;
Limbajul Pascal
1.  v[i]:=v[v[j]]; 
2.  m:=(v[2]+v[3])/2; 
3.  v[10]:=m; 
4.  m.st:=v[5].st mod 2;
\end{verbatim}","N/A","niciuna","1 , 2 și 3","1 și 4","3","3 și 4","toate","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.5.","Single","Subprogramul f cu antetul int f (int x ) (în limbajul C++ și limbajul C), respectiv function $f(x$ : integer) : integer; (în limbajul Pascal), returnează cea mai mică cifră a numărului $\mathbf{x}$, care apare de cel puţin două ori în scrierea lui $\mathbf{x}$, sau valoarea -1 , dacă numărul $\mathbf{x}$ este format din cifre distincte.
Stabiliţi valoarea expresiei $f(f(775125)+f(97917))$.","N/A","-1","0","1","12","14","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.6.","Single","Se generează prin metoda backtracking, submulţimile nevide ale mulţimii ${1,2,3}$ astfel: ${1},{1,2},{1,2,3},{1,3},{2},{2,3},{3}$. Folosind aceeaşi metodă pentru a genera submulţimile nevide ale mulţimii ${1,2,3,4,5,6,7}$, stabiliţi care este a $10-\mathrm{a}$, respectiv a 11-a soluție generată.","N/A","${1,2,3,4,7}, {1,2,3,4,6,7}$","${1,2,3,4,7},{1,2,3,5}$","${1,2,3,4,6,7}$, ${1,2,3,6,7}$","${1,2,3,4,6}, {1,2,3,4,6,7}$","${1,2,3,4,6}$, ${1,2,3,5}$","${1,2,3,4,6,7},{1,2,3,4,7}$","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.7.","Single","Se consideră graful neorientat $G=(X, U)$ unde $X={1,2,3,4,5}$ şi $\mathrm{U}={[1,2],[1,3],[5,1],[3,4],[4,5],[3,2]}$. Precizați numărul minim de muchii care trebuie adăugate pentru ca graful să devină eulerian.","N/A","0","1","2","3","4","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.8.","Single","Un graf neorientat are 30 noduri şi 16 muchii. Precizați numărul componentelor conexe pe care le poate avea acest graf.","N/A","exact 14","cel puţin 14 şi cel mult 24","cel puţin 14 şi cel mult 26","cel puţin 16 şi cel mult 24","cel puţin 16 şi cel mult 26","exact 24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.9.","Single","Fie $\mathrm{G}=(\mathrm{V}, \mathrm{E})$ un graf orientat în care mulţimea nodurilor este $\mathrm{V}={1,2, \ldots, 10}$, iar mulţimea arcelor este $\mathrm{E}={(\mathrm{i}, \mathrm{j}) \mathrm{VxV} \mid$ i este divizor propriu al lui j$}$. Stabiliţi care dintre următoarele afirmaţii este adevărată.
\begin{enumerate}
  \item Graful G are 3 componente tare conexe
  \item Graful G are 3 componente conexe
  \item G nu are vârfuri izolate
  \item Graful G conţine cel puțin un circuit
\end{enumerate}","N/A","1","1 și 2","2","3","4","toate","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.10.","Single","Prin înălţimea unui arbore cu rădăcină înţelegem numărul de muchii ale celui mai lung lanţ elementar care are una dintre extremităţi în rădăcina arborelui. Dacă arborele este reprezentat prin următorul vector de taţi: tata $=(4,5,1,0,4,5,6,1,4)$, atunci înălţimea sa este:","N/A","2","3","4","5","6","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.11.","Single","Subprogramul g este definit mai jos. Precizați ce valori se vor afișa în urma apelul g (4).
\begin{verbatim}
Limbajul C++/ Limbajul C
void g(int n)
{int i;
    if(n>0)
    for(i=n;i>1;i--)
        {
            cout<<i; | printf(""%d"",i);
            g(n-2);
        }
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
procedure g(n:word);
var i:word;
begin
if n>0 then
    for i:=n downto 2 do
    begin
        write(i);
        g(n-2);
    end;
end;
\end{verbatim}","N/A","42132","42322","423222","432322","432132121","4213212211","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.12.","Single","În secvența de program alăturată, variabilele i și $\mathbf{k}$ sunt de tip întreg, iar variabila $\mathbf{A}$ memorează o matrice cu 8 linii și 8 coloane (numerotate de la 1 la 8) cu elemente numere întregi. Înainte de executarea secvenței, toate elementele vectorului sunt nule. Precizați care este a 9-a valoare afișată și care este numărul de valori afișate pe parcursul executării secvenței date.
\begin{verbatim}
Limbajul C++/ Limbajul C
n=8;k=3;
for (i=n;i>=1;i--)
        for(j=n;j>=1;j--)
            A[i][j]=n*(j-1)+i;
for(i=k;i<=n-k+1;i++)
    cout<<A[i][k]<<' '; | printf(""%d "", A[i][k]);
for(i=k+1;i<=n-k+1;i++)
    cout<<A[n-k+1][i]<<' '; | printf(""%d "",A[n-k+1][i]);
for(i=n-k;i>=k;i--)
    cout<<A[i][n-k+1]<<' '; | printf(""%d "", A[i][n-k+1]);
for(i=n-k;i>k;i--)
    cout<<A[k][i]<<' '; | printf(""%d "", A[k][i]);

    Limbajul Pascal n:=8;k:=3; 
for i:=n downto 1 do 
    for j:=n downto 1 do
        A[i,j]:=n*(j-1)+i; 
for i:=k to n-k+1 do 
  write(A[i,k],' '); 
for i:=k+1 to n-k+1 do  
    write(A[n-k+1,i],' '); 
for i:=n-k downto k do  
    write(A[i,n-k+1],' '); 
for i:=n-k downto k+1 do  
 write(A[k,i],' ');
\end{verbatim}","N/A","43 și 10","43 și 12","44 și 10","44 și 12","45 și 10","45 și 12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.13.","Single","Se consideră declarările:
\begin{verbatim}
Limbajul C++/ Limbajul C
char s[30]=""bacaacbc"";
char t[3][3]={""ab"",""ac"",""bc""};
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
var i:word;
s:string[30];
t:array[0..2]of string[3];
\end{verbatim}
Precizați ce se va afișa după executarea secvenței de program de mai jos.
\begin{verbatim}
Limbajul C++/ Limbajul C
for(int i=0;i<3;i++)
    if (!strstr(s,t[i]))
        strcat(s,t[2-i]);
    else cout<<t[i]; | printf(""%s"",t[i]);
cout<<strlen(s); | printf(""%d"",strlen(s));
cout<<s; | printf(""%s"",s);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
s:='bacaacbc';t[0]:='ab';t[1]:='ac';t[2]:='bc';
for i:=0 to 2 do
        if pos(t[i],s)=0 then s:=s+t[2-i]
        else write(t[i]);
write(length(s));
write(s);
\end{verbatim}","N/A","secvența este incorectă sintactic","acbc8bacaacbc","acbc10bacaacbc","bcac10bacaacbcbc","acb10bacaacbcbc","acbc10bacaacbcbc","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.14.","Single","Subprogramul p este definit mai jos. Variabila a memorează un vector cu 100 de elemente numere întregi, aflate pe poziții numerotate de la o la 99. Precizaţi câte elemente divizibile cu 3 conține tabloul unidimensional a după executarea apelului $p(6, a)$.
\begin{verbatim}
Limbajul C++/ Limbajul C
void p(int k, int v[100])
{ int w[100];
    v[0]=w[0]=1;
    for(int i=1;i<=k;i++)
    {
        for(int j=0;j<=i;j++)
        {
            if(j==0) v[j]=1;
            else
            if(i==j) v[j]=1;
                else v[j]=w[j-1]+w[j];
        }
        for(int j=0;j<=i;j++)
            w[j]=v[j];
    }
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
type vector=array[0..99]of integer;
var a:vector;
procedure p(k:integer; var v:vector);
var w:vector; i,j:integer;
begin
    v[0]:=1; w[0]:=1;
    for i:=1 to k do begin
        for j:=0 to i do
            if j=0 then v[j]:=1
                else
    if i=j then v[j]:=1
        else v[j]:=w[j-1]+w[j];
    for j:=0 to i do w[j]:=v[j];
    end;
end;
\end{verbatim}","N/A","1","2","3","4","5","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 10","10.15.","Single","Variabilele $\mathbf{x}, \mathrm{n}, \mathbf{i}, \mathrm{b}, \mathrm{c}$ memorează numere naturale. Dacă inițial variabila b memorează valoarea 3 și variabila x memorează inițial valoarea 0 , indicaţi valoarea afișată de secvența de program următoare:
\begin{verbatim}
Limbajul C++/ Limbajul C
for(i=0;i<=99;i++)
{
    c=0,n=i;
    while(n>0)
    {
        c=c+n%b;
        n=n/b;
    }
    if(c>x) x=c;
}
cout<<x; l printf(""%d"",x);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
for i:=0 to 99 do
    begin
        c:=0;n:=i;
        while n>0 do
            begin
            c:=c+n mod b;
            n:=n div b;
            end;
            if c>x then x:=c;
end;
write(x);
\end{verbatim}\","N/A","4","5","6","7","8","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.1.","Single","Precizaţi care este numărul elementelor egale cu 1 (pentru limbajul $\mathbf{C} / \mathbf{C}++$ )/true (pentru limbajul Pascal) aflate pe diagonala principală în urma executării secvenței de mai jos, în care a este un tablou bidimensional cu $\mathbf{n}$ linii și $\mathbf{n}$ coloane, iar $\mathbf{i}, \mathbf{j}$ sunt variabile de tip întreg.
\begin{verbatim}
Limbajul C++
for(i=n;i>=1;i--)
for(j=n;j>=1;j--)
    a[i][j]=(i==j);
\end{verbatim}
\begin{verbatim}
Limbajul C
for(i=n;i>=1;i--)
for(j=n;j>=1;j--)
    a[i][j]=(i==j);
Limbajul  Pascal 
for i:=n downto 1 do 
for j:=n downto 1 do 
 a[i,j]:=(i=j); 
\end{verbatim}","N/A","nu poate fi calculat","$n^{2}$","$\mathrm{n}-1$","$n^{2}-1$","$n$","$(\mathrm{n}+1) * \mathrm{n} / 2$","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.2.","Single","Precizaţi care este complexitatea algoritmului de interclasare a două șiruri, cu m și respectiv n numere naturale ( $\mathrm{n} \leq \mathrm{m}$ ).","N/A","$O(\max (m, n))$","$O(\min (m, n))$","$O(m+n)$","$O(m * n)$","$O\left(\operatorname{llog}_{2}(n)\right)$","$O\left(\mathrm{nlog}_{2}(\mathrm{~m})\right)$","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.3.","Single","Indicaţi care dintre următoarele secvențe de program calculează în variabila nr, în mod corect și eficient ca timp de executare, numărul cuburilor naturale perfecte mai mici sau egale decât $\mathbf{n}$ (număr natural cunoscut).","N/A","\begin{verbatim}
Limbajul C++
int n,nr=0,i;
cin>>n;
for(i=1;i<=n;i++)
if(i*i*i<=n)
nr++;
cout<<nr;
Limbajul C 
int n,nr=0,i; 
scanf(""%d"",&n); 
for(i=1;i<=n;i++) 
if(i*i*i<=n) 
nr++; 
printf(""%d"",nr);
Limbajul  Pascal 
var n,i,nr:integer;  
BEGIN  
readln(n); 
nr:=0; 
 for i:=1 to n do 
if i*i*i<=n then 
nr:=nr+1; 
writeln(nr);  
END.
\end{verbatim}","\begin{verbatim}
Limbajul C++
int n,nr=0,i,j;
cin>>n;
for(i=1;i<=n;i++)
for(j=1;j<=i;j++)
if(j*j*j==i)
nr++;
cout<<nr;
Limbajul C 
int n, nr=0, j, i; 
scanf(""%d"",&n); 
for(i=1;i<=n;i++) 
for(j=1;j<=i;j++) 
if(j*j*j==i) 
nr++; 
printf(""%d"",nr);
Limbajul  Pascal 
var 
n,nr,i,j:integer;  
BEGIN  
readln(n);nr:=0; 
for i:=1 to n do 
for j:=1 to i do 
if j*j*j=i then 
nr:=nr+1; 
writeln(nr);  
END.
\end{verbatim}","\begin{verbatim}
Limbajul C++ 
int n,nr; 
cin>>n; 
nr=(int)exp(1/2.0* 
log(n)); 
cout<<nr;
Limbajul C 
int n,nr; 
scanf(""%d"",&n); 
nr=(int)exp(1/2.0* 
log(n)); 
printf(""%d"",nr);
Limbajul  Pascal 
var n,nr:integer;  
BEGIN  
readln(n);  
nr:=trunc(exp(1/2* 
ln(n)));  
writeln(nr);  
END.
\end{verbatim}","\begin{verbatim}
Limbajul  C++ 
int n, nr; 
cin>>n; nr=n*n*(n+1)*(n+1)/4; 
cout<<nr;
Limbajul C 
int n, nr; 
scanf(""%d"",&n); nr=n*n*(n+1)*(n+1)/4; 
printf(""%d"",nr);
Limbajul  Pascal 
var n, nr:integer;  
BEGIN  
readln(n);  nr:=n*n*(n+1)*(n+1)div 4;  
writeln(nr);  
END.
\end{verbatim}","\begin{verbatim}
Limbajul  C++ 
int n, nr; 
cin>>n; nr=n*n*(n+1)*(n+1)/6; 
cout<<nr;
Limbajul C 
int n, nr; 
scanf(""%d"",&n); nr=n*n*(n+1)*(n+1)/6; 
printf(""%d"",nr);
Limbajul  Pascal 
var n, nr:integer;  
BEGIN  
readln(n);  nr:=n*n*(n+1)*(n+1)div 6;  
writeln(nr);  
END.
\end{verbatim}","\begin{verbatim}
Limbajul  C++ 
int n, nr; 
cin>>n; 
nr=(int)exp(1/3.0* 
log(n)); 
cout<<nr;
Limbajul C 
int n, nr; 
scanf(""%d"",&n); 
nr=(int)exp(1/3.0* 
log(n)); 
printf(""%d"",nr);
Limbajul  Pascal 
var n, nr:integer;  
BEGIN  
readln(n);  
nr:=trunc(exp(1/3* 
ln(n)));  
writeln(nr);  
END.
\end{verbatim}","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.4.","Single","Se definește funcția:
$M_{n}^{k}=\left{\begin{array}{c}M_{n-1}^{k}+k * M_{n-1}^{k-1} \text { pentru } k>0","N/A","produsul cartezian","numărul submulțimilor","afișarea tuturor aranjamentelor mulțimii ${1,2, . . . n}$ luate câte $\mathbf{k}$ $\mathbf{k}$ elemente ale unei mulțimi","numărul submulțimilor cu k elemente ale unei mulțimi cu n elemente","afișarea tuturor combinărilor mulțimii {1,2,..,n} luate câte k","nici una dintre variante","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.5.","Single","Indicaţi care este efectul prelucrării secvenței de program de mai jos, pentru $\mathbf{x}, \mathbf{y}$ numere naturale cu $\mathbf{x} \leq \mathbf{y}$ :
\begin{verbatim}
Limbajul C++
int f(int x,int
y) {
if(x==y) return x;
else if(x>y)
return x-1;
else
return
    f(++x,--y);}
int main()
{int x, y;
cin>>x>>y;
    cout<<f(x,y);
return 0;}
\end{verbatim}
\begin{verbatim}
Limbajul C
int f(int x,int
y) {
if(x==y) return x;
else if(x>y)
return x-1;
else
return
f(++x,--y) ;}
int main()
{int x, y;
scanf(""%d%d"",&x,&y);
printf(""%d"",f(x,y));
return 0;}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
var x,y:integer;
function
f(x,y:integer):integ
er;
begin
if x=y then f:=x
else
if x>y then f:=x-1
else
f:=f(succ(x),pred(y))
end;
begin
readln(x,y);
writeln(f(x,y));
end.
\end{verbatim}
S-a notat cu [a] partea întreagă a numărului a și cu |a-b|, modulul diferenței a-b.","N/A","$\mathbf{x}+\mathbf{y}$","$[y-x]$","$|y-x|$","$\mathbf{x}^{y}$","$[(x+y) / 2]$","$y^{x}$","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.6.","Single","Indicaţi care este valoarea inițială a variabilei a dacă, în urma executării secvenței următoare de program, s-a afișat valoarea 6.
\begin{verbatim}
Limbajul C++
int a=... ,n;
n=16327;
while(n!=0)
{
switch(n%10) {
case 0: case 2: case
4:case 6: case 8:
a=a+n%2;break;
case 1: case 3: case
5:case 7: case 9:
a=a-n%2; break;}
n=n/10;
}
cout<<<a<<endl;
\end{verbatim}
\begin{verbatim}
Limbajul C
    int a=... ,n;
n=16327;
while(n!=0)
{
switch(n%10) {
case 0: case 2:
case 4:case 6:
case 8:
a=a+n%2;break;
case 1: case 3:
case 5:case 7:
case 9: a=a-n%2;
break;}
n=n/10;
}
printf(""%d"",a);
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
var n,a:integer;
BEGIN
a:=...;
n:=16327;
while n>0 do
begin
case n mod 10 of
0,2,4,6,8:
a:=a+n mod 2;
1,3,5,7,9:
a:=a-n mod 2;
end;
n:=n div 10;
end;
writeln(a);
END.
\end{verbatim}","N/A","8","nici una dintre variante variante","9","13","10","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.7.","Single","Fie un graf neorientat conex cu $\mathbf{4 0}$ de noduri și $\mathbf{7 0}$ de muchii. Precizați numărul maxim de muchii care pot fi eliminate astfel încât graful să rămână conex:","N/A","31","30","1","0","39","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.8.","Single","Precizați numărul grafurilor orientate complete cu noduri care pot fi construite:","N/A","$4^{n \star(n-1) / 2}$","$4^{n}(\mathrm{n}+1) / 2$","$3^{n \star(n+1) / 2}$","$\mathbf{4}^{\mathrm{n} / 2}$","$2^{\mathrm{n}^{\star}(\mathrm{n}-1) / 2}$","$3^{n \star(n-1) / 2}$","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.9.","Single","Precizați care din următoarele șiruri de numere nu poate reprezenta gradele vârfurilor unui arbore.","N/A","2 2 1 1","4 1 1 2 1 1","1 2 1","1 1 1 2 1 5","1 1 1 2 1 4","1 2 1 2 1 3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.10.","Single","Precizați care este valoarea produsă de subprogramului $\mathbf{f}$ definit mai jos, în urma apelului $\mathbf{f ( s )}$, atunci când parametrul $\mathbf{s}$ primește șirul de caractere: 123abc4567
\begin{verbatim}
Limbajul C++
int f( char s[100])
{int i, nr=0, n=strlen(s);
for(i=0;s[i]>='0'&&s[i]<='9';i++)
    nr=nr*10+s[n-i-1]-'0';
return nr;}
\end{verbatim}
\begin{verbatim}
Limbajul C
int f( char s[100])
{int nr=0,i,n;
n=strlen(s);
for(i=0;s[i]>='0'&&s[i]<='9';i++)
    nr=nr*10+s[n-i-1]-'0';
    return nr;}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
function f(s:String):longint;
var n,nr,i:longint ;
begin
n:=Length(s);nr:=0;i:=1;
while (s[i]>='0') and (s[i]<='9') do
begin
nr:=10*nr+ord(s[n-i+1])-ord('0');
i:=i+1;
end;f:=nr;
end;
\end{verbatim}","N/A","1234567","123","456","321","765","7654","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.11.","Single","Precizați care este suma calculată în urma apelului $f(1, n)$ al subprogramului $f$ definit mai jos, unde $n$ este un număr natural cunoscut:
\begin{verbatim}
Limbajul C++
int f(int i, int n)
{
    if(i<=3*n)
        if(i%3!=0)
            return f(i+1,n);
        else
            return i+f(i+1,n);
        else return 0;
}
\end{verbatim}
\begin{verbatim}
Limbajul C
int f(int i, int n)
{
    if(i<=3*n)
        if(i%3!=0)
            return f(i+1,n);
        else
            return i+f(i+1,n);
    else return 0;
}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
function f(i,n:integer):integer;
begin
if i<=3*n then
    if i mod 3 =0 then
        f:=f(i+1,n)+i
    else f:=f(i+1,n)
else f:=0
end;
\end{verbatim}","N/A","$\sum_{i=1}^{3 n} i$","$\sum_{i=1}^{n} 3 * i$","$\sum_{i=1}^{n} * i$","$\sum_{i=1}^{n}(i+3)$","$\sum_{i=1}^{n} i / 3$","$\sum_{i=1}^{n / 3} i$","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.12.","Single","Utilizând metoda backtracking, se generează toate posibilitățile de a forma șiruri din trei cuvinte distincte din mulțimea {examen, reușit, promovat, nota, felicitări}. Primele trei soluții sunt: examen reușit promovat; examen reușit nota; examen reușit felicitări. Indicați care este soluția generată înainte de felicitări examen reușit.","N/A","nota examen felicitări","nota felicitări promovat","felicitări examen promovat","examen promovat felicitări","felicitări nota examen","promovat examen felicitări","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.13.","Single","Dacă pentru variabila a se citește valoarea 11, precizați câte valori pot fi citite pentru variabila b astfel încât în urma apelului $\mathbf{f}(\mathbf{a}, \mathbf{b})$, subprogramul $\mathbf{f}$ de finit mai jos să producă valoarea 10.
\begin{verbatim}
Limbajul C++
int f(int a,int b)
{ if(a==b)
        return a%2;
    else
return
f(a,(a+b)/2)+f((a+b)/2+1,b); }
\end{verbatim}
\begin{verbatim}
Limbajul C
int f(int a,int b)
{ if(a==b)
        return a%2;
    else
return
f(a, (a+b)/2) +f((a+b)/2+1,b) ;}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
function f(a,b:integer):integer;
begin
if a=b then f:=a mod 2
else
f:=f(a,(a+b) div 2) +f((a+b) div 2+1,b);
end;
\end{verbatim}","N/A","2","1","0","3","4","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.14.","Single","Indicați pentru ce valori ale lui $\mathbf{n}$ și $\mathbf{p}$, valoarea variabilei întregi $\mathbf{x}$ este 164 , în urma apelului $f(1)$ al subprogramului $f$ definit mai jos.
\begin{verbatim}
Limbajul C++
int s[100],n,p,x;
void f(int k)
{ int i;
    if(k==p+1) x++;
else 
if(k==1) 
for(i=1;i<=n;i++) f(k+1); 
    else 
for(i=1+s[k-1];i<=n;i++) 
    {  s[k]=i;f(k+1); }}
\end{verbatim}
\begin{verbatim}
Limbajul C
int s[100],n,p,x;
void f(int k)
{ int i;
    if(k==p+1) x++;
else 
if(k==1) 
for(i=1;i<=n;i++) f(k+1); 
    else 
 for(i=1+s[k-1];i<=n;i++) 
    {  s[k]=i;f(k+1); }}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal 
type vector=array[1..100] of integer; 
var n,p,x:integer; 
s: vector; 
procedure f(k:integer); 
var i,i1:integer; 
begin 
if k=p+1 then x:=x+1 
else 
if  k=1 then 
for i1:=1 to n do 
begin 
s[k]:=i1; f(k+1); 
end 
else 
for i:=1+s[k-1] to n do 
begin 
s[k]:=i; f(k+1); 
end; end;
\end{verbatim}","N/A","82 și 2","164 și 1","328 și 4","41 si 123","41 și","81 și 2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Varianta 11","11.15.","Single","Precizați care este valoarea produsă de subprogramul $f$, definit mai jos, în urma apelului f(1999, 7) .
\begin{verbatim}
Limbajul C++
int f(int x, int n)
{if(n)
if(n%2==0)
return (f(x,n/2)*f(x,n/2)) % 10;
else
return (x*f(x,n-1))%10;
    else
return 1;}
\end{verbatim}
\begin{verbatim}
Limbajul C
int f(int x, int n)
{if(n)
    if(n%2==0)
return
(f(x,n/2)*f(x,n/2))%10;
else
return (x*f(x,n-1))%10;
    else
return 1;}
\end{verbatim}
\begin{verbatim}
Limbajul Pascal
function f(x,n:integer):integer;
begin
if n=0 then f:=1
else
if n mod 2=0 then
f:=(f(x,n div 2)*f(x,n div 2)) mod 10
else
    f:=(x*f(x,n-1)) mod 10;
end;
\end{verbatim}","N/A","798800599919","9","nu poate fi calculată valoarea","1","0","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
